,alpha,decayFunction,decay,epsilon,trial,net_reward,success
395,0.3,power,0.9,0.5,6,-34.6729348798,0
396,0.3,power,0.9,0.5,7,-31.707530535,0
397,0.3,power,0.9,0.5,8,-64.3202801507,0
398,0.3,power,0.9,0.5,9,-103.782415815,0
399,0.3,power,0.9,0.5,10,-76.8962217602,0
400,0.3,power,0.1,0.7,1,-269.146272645,0
401,0.3,power,0.1,0.7,2,-98.6351186088,1
402,0.3,power,0.1,0.7,3,-27.1708452182,1
403,0.3,power,0.1,0.7,4,-29.3698668959,0
404,0.3,power,0.1,0.7,5,-175.981198329,1
405,0.3,power,0.1,0.7,6,-271.915299138,0
406,0.3,power,0.1,0.7,7,-170.082795762,1
407,0.3,power,0.1,0.7,8,-88.5968758555,0
408,0.3,power,0.1,0.7,9,-32.5149714768,0
409,0.3,power,0.1,0.7,10,-74.7076039148,1
410,0.3,power,0.3,0.7,1,-161.608132035,1
411,0.3,power,0.3,0.7,2,-160.569216148,1
412,0.3,power,0.3,0.7,3,-176.603359511,0
413,0.3,power,0.3,0.7,4,-124.226623225,0
414,0.3,power,0.3,0.7,5,-121.98836265,0
415,0.3,power,0.3,0.7,6,-128.237832042,0
416,0.3,power,0.3,0.7,7,-73.4768117559,0
417,0.3,power,0.3,0.7,8,-156.112495616,0
418,0.3,power,0.3,0.7,9,-15.4963458582,0
419,0.3,power,0.3,0.7,10,-202.181742484,0
420,0.3,power,0.5,0.7,1,-7.21957968495,0
421,0.3,power,0.5,0.7,2,-177.218118254,0
422,0.3,power,0.5,0.7,3,-37.0057308443,0
423,0.3,power,0.5,0.7,4,-128.343188724,0
424,0.3,power,0.5,0.7,5,-22.6269680467,1
425,0.3,power,0.5,0.7,6,-281.548156208,0
426,0.3,power,0.5,0.7,7,-216.608668053,0
427,0.3,power,0.5,0.7,8,-132.971324372,0
428,0.3,power,0.5,0.7,9,-77.2663601764,0
429,0.3,power,0.5,0.7,10,-120.610220669,0
430,0.3,power,0.7,0.7,1,-112.314989676,0
431,0.3,power,0.7,0.7,2,-162.115930144,0
432,0.3,power,0.7,0.7,3,-190.353439105,0
433,0.3,power,0.7,0.7,4,-35.1759926365,0
434,0.3,power,0.7,0.7,5,-108.86741057,0
435,0.3,power,0.7,0.7,6,-54.9297641098,0
436,0.3,power,0.7,0.7,7,10.6363131325,0
437,0.3,power,0.7,0.7,8,2.15090808395,0
438,0.3,power,0.7,0.7,9,-186.586157463,0
439,0.3,power,0.7,0.7,10,-201.057834533,0
440,0.3,power,0.9,0.7,1,-93.1771989836,0
441,0.3,power,0.9,0.7,2,-181.011180869,0
442,0.3,power,0.9,0.7,3,-33.8322267968,0
443,0.3,power,0.9,0.7,4,-55.0682093693,0
444,0.3,power,0.9,0.7,5,-50.4078232428,1
445,0.3,power,0.9,0.7,6,3.10032855346,0
446,0.3,power,0.9,0.7,7,8.80969619234,1
447,0.3,power,0.9,0.7,8,-9.73137028228,0
448,0.3,power,0.9,0.7,9,-93.5494318354,0
449,0.3,power,0.9,0.7,10,-134.150602412,0
450,0.3,power,0.1,0.9,1,-105.714723187,0
451,0.3,power,0.1,0.9,2,-214.655755724,0
452,0.3,power,0.1,0.9,3,-41.6995168869,0
453,0.3,power,0.1,0.9,4,-85.1705654738,1
454,0.3,power,0.1,0.9,5,7.82048331087,1
455,0.3,power,0.1,0.9,6,-67.1220291968,0
456,0.3,power,0.1,0.9,7,-115.735680028,0
457,0.3,power,0.1,0.9,8,-38.3605613607,1
458,0.3,power,0.1,0.9,9,-54.7084678378,0
459,0.3,power,0.1,0.9,10,-146.404266041,0
460,0.3,power,0.3,0.9,1,-111.871527869,0
461,0.3,power,0.3,0.9,2,-59.0076697453,1
462,0.3,power,0.3,0.9,3,-8.05501117451,1
463,0.3,power,0.3,0.9,4,-310.643456139,0
464,0.3,power,0.3,0.9,5,-172.931983383,0
465,0.3,power,0.3,0.9,6,-83.3932846189,0
466,0.3,power,0.3,0.9,7,-144.039652399,0
467,0.3,power,0.3,0.9,8,-99.5939944503,0
468,0.3,power,0.3,0.9,9,-98.453958645,0
469,0.3,power,0.3,0.9,10,-253.44294605,0
470,0.3,power,0.5,0.9,1,-101.989614488,0
471,0.3,power,0.5,0.9,2,-136.332572317,1
472,0.3,power,0.5,0.9,3,-54.2539545033,0
473,0.3,power,0.5,0.9,4,-136.406048488,0
474,0.3,power,0.5,0.9,5,-47.29788036,1
475,0.3,power,0.5,0.9,6,-106.314802966,0
476,0.3,power,0.5,0.9,7,-167.930187445,0
477,0.3,power,0.5,0.9,8,-216.564539426,0
478,0.3,power,0.5,0.9,9,-230.862662053,0
479,0.3,power,0.5,0.9,10,-38.2776879225,1
480,0.3,power,0.7,0.9,1,-37.1177334649,0
481,0.3,power,0.7,0.9,2,-142.422938935,0
482,0.3,power,0.7,0.9,3,-178.332922035,0
483,0.3,power,0.7,0.9,4,-260.555159535,0
484,0.3,power,0.7,0.9,5,-49.8696670948,1
485,0.3,power,0.7,0.9,6,-62.4152508371,0
486,0.3,power,0.7,0.9,7,-85.0596723622,0
487,0.3,power,0.7,0.9,8,-147.684564141,0
488,0.3,power,0.7,0.9,9,-65.9777764076,1
489,0.3,power,0.7,0.9,10,-130.805996093,0
490,0.3,power,0.9,0.9,1,5.38167815286,1
491,0.3,power,0.9,0.9,2,9.2529642471,0
492,0.3,power,0.9,0.9,3,-90.0752283538,0
493,0.3,power,0.9,0.9,4,-48.0449150142,0
494,0.3,power,0.9,0.9,5,-169.23227991,0
495,0.3,power,0.9,0.9,6,-120.987339267,0
496,0.3,power,0.9,0.9,7,-46.5597268906,0
497,0.3,power,0.9,0.9,8,-77.486126593,0
498,0.3,power,0.9,0.9,9,-117.620191491,0
499,0.3,power,0.9,0.9,10,-90.8241722267,0
500,0.5,power,0.1,0.1,1,-126.908908299,0
501,0.5,power,0.1,0.1,2,-2.29921485348,0
502,0.5,power,0.1,0.1,3,-21.1397309168,0
503,0.5,power,0.1,0.1,4,-187.594385163,1
504,0.5,power,0.1,0.1,5,-104.396001393,0
505,0.5,power,0.1,0.1,6,-261.46904404,0
506,0.5,power,0.1,0.1,7,-294.738920828,0
