,alpha,trial,net_reward,success
176,0.2,77,30.2515765164,0
177,0.2,78,25.9328020999,1
178,0.2,79,31.409383192,1
179,0.2,80,17.6136601469,1
180,0.2,81,14.5863089986,1
181,0.2,82,40.7788713804,1
182,0.2,83,19.2695964908,1
183,0.2,84,8.2977688734,1
184,0.2,85,9.59169786893,1
185,0.2,86,26.6145022027,1
186,0.2,87,24.5181538134,0
187,0.2,88,30.123534927,1
188,0.2,89,26.2349936206,0
189,0.2,90,31.8865342983,1
190,0.2,91,19.2148514368,1
191,0.2,92,23.0072574179,1
192,0.2,93,37.2070555963,1
193,0.2,94,7.3188541025,1
194,0.2,95,22.3903484655,0
195,0.2,96,8.73677054299,1
196,0.2,97,14.3130310127,1
197,0.2,98,28.3689893412,1
198,0.2,99,35.7820839378,1
199,0.2,100,13.4873910296,1
200,0.3,1,5.4618085052,1
201,0.3,2,24.9057612809,1
202,0.3,3,31.3825452104,0
203,0.3,4,36.6602240328,1
204,0.3,5,12.2251243587,1
205,0.3,6,11.1650698926,1
206,0.3,7,19.8807358392,1
207,0.3,8,28.5458248278,0
208,0.3,9,28.2479157284,1
209,0.3,10,35.7731996733,1
210,0.3,11,23.2823684234,1
211,0.3,12,42.2254390099,0
212,0.3,13,18.0035264139,1
213,0.3,14,37.6199184149,0
214,0.3,15,28.9637726063,0
215,0.3,16,29.812835554,0
216,0.3,17,12.6385927216,1
217,0.3,18,31.8136837382,0
218,0.3,19,25.7353304308,0
219,0.3,20,10.299464518,1
220,0.3,21,36.8521580885,1
221,0.3,22,25.4527724259,0
222,0.3,23,24.8737230795,1
223,0.3,24,9.17679008003,1
224,0.3,25,19.235057546,1
225,0.3,26,27.0385910029,0
226,0.3,27,34.6156141519,0
227,0.3,28,27.9741655982,1
228,0.3,29,13.0703582472,1
229,0.3,30,26.1678450251,0
230,0.3,31,25.7042593828,0
231,0.3,32,32.2872094808,0
232,0.3,33,19.7813522686,1
233,0.3,34,28.0872139443,0
234,0.3,35,32.3428210681,1
235,0.3,36,45.167120794,1
236,0.3,37,38.0760182128,0
237,0.3,38,27.0980294883,0
238,0.3,39,41.4985614364,0
239,0.3,40,28.9080040918,0
240,0.3,41,25.971330243,1
241,0.3,42,10.7583268207,1
242,0.3,43,14.6113199955,1
243,0.3,44,38.6432106681,0
244,0.3,45,36.2395168237,0
245,0.3,46,34.2072601853,1
246,0.3,47,5.56299814951,1
247,0.3,48,28.6213961008,0
248,0.3,49,29.0401529253,1
249,0.3,50,28.7970850259,1
250,0.3,51,26.242509869,1
251,0.3,52,31.0214097062,0
252,0.3,53,14.0188692788,1
253,0.3,54,29.1843703117,1
254,0.3,55,36.2028951323,1
255,0.3,56,14.6493654401,1
256,0.3,57,36.1411469699,1
257,0.3,58,30.6724855813,0
258,0.3,59,24.4817614104,0
259,0.3,60,21.4096285269,1
260,0.3,61,33.594611338,1
261,0.3,62,30.4950016594,0
262,0.3,63,43.8432803707,0
263,0.3,64,20.6866439257,1
264,0.3,65,28.6830273997,1
265,0.3,66,23.3808458357,0
266,0.3,67,23.1200878579,0
267,0.3,68,10.123650042,1
268,0.3,69,32.9130009313,0
269,0.3,70,36.6726744812,1
270,0.3,71,28.0510874315,0
271,0.3,72,26.2233532602,1
272,0.3,73,28.1980731528,0
273,0.3,74,27.3538987848,0
274,0.3,75,18.0925973308,1
275,0.3,76,26.7420814674,0
276,0.3,77,28.5721828346,1
277,0.3,78,27.7560681899,0
278,0.3,79,38.4682100333,0
279,0.3,80,26.504423323,1
280,0.3,81,18.5862549815,1
281,0.3,82,9.49220139905,1
282,0.3,83,24.2373402471,1
283,0.3,84,39.2150628675,1
284,0.3,85,27.5775001741,1
285,0.3,86,27.4822391518,1
286,0.3,87,32.0401950414,0
287,0.3,88,16.0709449996,1
288,0.3,89,20.6671022302,1
289,0.3,90,26.5157097091,1
290,0.3,91,30.9968047996,0
291,0.3,92,19.5113220059,1
292,0.3,93,30.7774947194,0
293,0.3,94,37.5183510017,0
294,0.3,95,29.7172756018,0
295,0.3,96,30.0315161752,0
296,0.3,97,13.6304340319,1
297,0.3,98,32.8318058349,0
298,0.3,99,19.5375208584,1
299,0.3,100,25.5694529287,0
300,0.4,1,28.9594332033,1
301,0.4,2,35.7343487287,0
302,0.4,3,31.3762556339,1
