trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.7, 'e': 0.0005639208733960184}",25,10,3.9727250076068605,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.0005075287860564165}",20,0,26.980403317966122,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.7, 'e': 0.00045677590745077487}",35,12,40.7512544574099,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.0004110983167056974}",20,5,21.742978700838695,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.00036998848503512764}",30,11,33.07823840454777,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.0003329896365316149}",35,18,32.83353014610084,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.0002996906728784534}",20,2,6.618254765076057,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.0002697216055906081}",20,3,24.658412143568658,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.7, 'e': 0.0002427494450315473}",25,12,21.703118023359085,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.7, 'e': 0.00021847450052839255}",30,10,39.03165863025914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.00019662705047555332}",20,13,14.411805875536437,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.7, 'e': 0.000176964345427998}",30,13,30.644283432715184,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.7, 'e': 0.00015926791088519818}",20,7,24.206485508455632,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.00014334111979667836}",20,10,17.67362695385636,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.00012900700781701054}",25,13,23.992975531357377,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.00011610630703530949}",20,10,20.830853661829163,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.00010449567633177854}",20,12,13.280976037590268,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 9.404610869860069e-05}",30,22,14.600532019518965,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 8.464149782874062e-05}",20,3,23.94005989424962,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 7.617734804586655e-05}",30,12,34.06050956943396,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
